rank,name,positive ratings,negative ratings,total reviews,rating percentage
449.,FIVE NIGHTS AT FREDDY'S: HELP WANTED,"11,682",468,"12,150",93.43%
450.,The Binding of Isaac,"56,099","2,908","59,007",93.42%
451.,The Talos Principle,"29,234","1,394","30,628",93.42%
452.,死寂（DeathlyStillness）,"19,892",890,"20,782",93.42%
453.,Portal: Revolution,"19,717",883,"20,600",93.42%
454.,Kindergarten,"7,897",286,"8,183",93.42%
455.,Everlasting Summer,"70,103","3,731","73,834",93.41%
456.,Princess Remedy in a World of Hurt,"2,767",63,"2,830",93.41%
457.,Untitled Goose Game,"18,805",839,"19,644",93.40%
458.,STAR WARS™ Jedi Knight: Jedi Academy™,"12,436",510,"12,946",93.40%
459.,Monster Prom 2: Monster Camp,"5,585",181,"5,766",93.40%
460.,Hexcells,"5,383",172,"5,555",93.40%
461.,Loddlenaut,"2,940",70,"3,010",93.40%
462.,Chop Goblins,"2,467",52,"2,519",93.40%
463.,Flowers -Le volume sur ete-,"1,144",8,"1,152",93.40%
464.,东方冰之勇者记：序章,"3,133",78,"3,211",93.39%
465.,Cureocity,"1,900",32,"1,932",93.39%
466.,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,"23,981","1,119","25,100",93.38%
467.,NEKOPARA Extra,"3,620",98,"3,718",93.38%
468.,Killing Floor,"63,025","3,356","66,381",93.36%
469.,Fireworks Mania,"5,539",182,"5,721",93.36%
470.,VVVVVV,"9,410",365,"9,775",93.35%
471.,Rusted Warfare - RTS,"5,165",166,"5,331",93.35%
472.,I commissioned some bees 0,"4,111",120,"4,231",93.35%
473.,Disfigure,"3,698",103,"3,801",93.34%
474.,Garden Galaxy,"1,953",35,"1,988",93.34%
475.,eden*,"4,092",120,"4,212",93.33%
476.,Sword and Fairy,"3,424",92,"3,516",93.33%
477.,Zup! X,"6,291",219,"6,510",93.32%
478.,枝江往事,"4,750",149,"4,899",93.32%
479.,Don't Escape: 4 Days to Survive,"2,056",39,"2,095",93.32%
480.,The Room Three,"10,872",443,"11,315",93.31%
481.,Endless Monday: Dreams and Deadlines,"1,203",11,"1,214",93.31%
482.,Rabi-Ribi,"11,137",458,"11,595",93.30%
483.,Hypnospace Outlaw,"4,320",131,"4,451",93.30%
484.,Trine,"14,329",625,"14,954",93.28%
485.,ANIMAL WELL,"13,076",560,"13,636",93.28%
486.,Insaniquarium! Deluxe,"5,236",173,"5,409",93.28%
487.,Hexcells Infinite,"4,154",125,"4,279",93.28%
488.,NUKITASHI 2,"1,353",16,"1,369",93.28%
489.,Orbo's Odyssey,"1,189",11,"1,200",93.28%
490.,Mirage Feathers,"1,122",9,"1,131",93.28%
491.,FreshWomen - Season 1,"15,990",715,"16,705",93.27%
492.,Spin Rhythm XD,"3,794",110,"3,904",93.27%
493.,Zup! Z,"4,013",120,"4,133",93.26%
494.,The Elder Scrolls III: Morrowind,"23,604","1,139","24,743",93.24%
495.,Coloring Pixels,"7,081",263,"7,344",93.24%
496.,Neighbours from Hell,"2,777",69,"2,846",93.24%
497.,Aokana - EXTRA1,"1,304",15,"1,319",93.24%
498.,NGU IDLE,"10,999",459,"11,458",93.23%
499.,Illusion Carnival,"2,048",41,"2,089",93.23%
500.,Rooftops & Alleys: The Parkour Game,"3,625",105,"3,730",93.22%
501.,Master Of Pottery,"2,714",67,"2,781",93.22%
502.,怠惰的怪獸公主不想工作,"5,317",181,"5,498",93.21%
503.,The Pedestrian,"4,441",141,"4,582",93.21%
504.,Project Zomboid,"303,906","18,799","322,705",93.20%
505.,Call of Juarez Gunslinger,"36,803","1,907","38,710",93.20%
506.,Trine 2,"20,453",973,"21,426",93.20%
507.,It Steals,"1,809",33,"1,842",93.20%
508.,枝江畔之梦,"1,469",21,"1,490",93.20%
509.,Blood and Bacon,"31,221","1,588","32,809",93.19%
510.,Indigo Park,"17,108",793,"17,901",93.18%
511.,STAR WARS™ Republic Commando,"14,753",665,"15,418",93.18%
512.,100 Ninja Cats,"1,911",37,"1,948",93.18%
513.,NEEDY GIRL OVERDOSE,"38,662","2,029","40,691",93.17%
514.,Roboquest,"17,971",843,"18,814",93.17%
515.,SpaceEngine,"10,587",446,"11,033",93.17%
516.,The Forgotten City,"9,978",416,"10,394",93.16%
517.,Swallow the Sea,"2,137",46,"2,183",93.16%
518.,Day of the Tentacle Remastered,"4,128",130,"4,258",93.15%
519.,NEKOPARA Vol. 1,"25,469","1,272","26,741",93.14%
520.,The Rewinder,"6,288",232,"6,520",93.14%
521.,Impostor Factory,"10,602",452,"11,054",93.13%
522.,Sudocats,"1,188",13,"1,201",93.13%
523.,ROUNDS,"29,957","1,539","31,496",93.12%
524.,PlateUp!,"19,748",952,"20,700",93.12%
525.,Retrowave,"14,349",654,"15,003",93.12%
526.,Bit Blaster XL,"5,931",216,"6,147",93.12%
527.,LISA,"13,654",618,"14,272",93.11%
528.,Orcs Must Die!,"7,579",298,"7,877",93.11%
529.,Raging Loop,"6,090",225,"6,315",93.10%
530.,klocki,"4,469",148,"4,617",93.10%
531.,WitchSpring R,"5,456",195,"5,651",93.09%
532.,Just a To the Moon Series Beach Episode,"1,555",26,"1,581",93.09%
533.,Cats and Seek: Osaka,"1,468",23,"1,491",93.09%
534.,Will You Snail?,"2,586",66,"2,652",93.08%
535.,Content Warning,"96,872","5,689","102,561",93.07%
536.,Incredibox,"3,774",118,"3,892",93.07%
537.,Tails Noir: Prologue,"4,007",129,"4,136",93.06%
538.,Half-Life: Opposing Force,"22,170","1,111","23,281",93.04%
539.,Pilgrims,"4,378",147,"4,525",93.04%
540.,Dwarf Fortress,"25,233","1,290","26,523",93.03%
541.,Machinarium,"14,525",679,"15,204",93.03%
542.,Hylics 2,"2,497",64,"2,561",93.03%
543.,Nodebuster,"2,181",51,"2,232",93.03%
544.,DEEP SPACE WAIFU,"8,035",330,"8,365",93.02%
545.,Songs of Syx,"4,923",174,"5,097",93.02%
546.,Voidigo,"3,700",117,"3,817",93.02%
547.,Fluffy Store,"3,341",101,"3,442",93.01%
548.,Sakuya Izayoi Gives You Advice And Dabs,"2,142",50,"2,192",93.01%
549.,Mafia II (Classic),"50,092","2,806","52,898",93.00%
550.,"Warhammer 40,000: Dawn of War - Soulstorm","15,647",747,"16,394",93.00%
551.,Nova Drift,"12,140",551,"12,691",93.00%
552.,The Jackbox Party Pack 7,"4,314",146,"4,460",93.00%
553.,Submachine: Legacy,"1,101",12,"1,113",93.00%
554.,Ori and the Blind Forest,"52,754","2,981","55,735",92.99%
555.,GUILTY GEAR XX ACCENT CORE PLUS R,"6,641",261,"6,902",92.99%
556.,Buckshot Roulette,"30,373","1,612","31,985",92.98%
557.,Timberborn,"25,322","1,312","26,634",92.98%
558.,(the) Gnorp Apologue,"5,594",209,"5,803",92.98%
559.,像素女友,"1,332",20,"1,352",92.98%
560.,LEGO® MARVEL Super Heroes,"22,675","1,158","23,833",92.97%
561.,The Talos Principle 2,"9,904",434,"10,338",92.97%
562.,We Become What We Behold,"5,048",183,"5,231",92.97%
563.,Coloring Game 2,"3,325",102,"3,427",92.97%
564.,My Summer Car,"73,322","4,297","77,619",92.96%
565.,Against the Storm,"25,141","1,306","26,447",92.96%
566.,Dust: An Elysian Tail,"17,544",862,"18,406",92.96%
567.,Audiosurf,"10,409",464,"10,873",92.95%
568.,Anomaly Agent,"6,597",262,"6,859",92.95%
569.,Creeper World 3: Arc Eternal,"4,366",151,"4,517",92.95%
570.,Rakuen,"5,558",210,"5,768",92.94%
571.,我的小鲨鱼,"3,075",92,"3,167",92.93%
572.,Bang-On Balls: Chronicles,"4,267",148,"4,415",92.92%
573.,Borderlands 2,"269,198","17,453","286,651",92.91%
574.,100 Capitalist Cats,"2,600",72,"2,672",92.91%
575.,Peaks of Yore,"1,626",32,"1,658",92.91%
576.,Recettear: An Item Shop's Tale,"6,809",277,"7,086",92.90%
577.,STEINS;GATE 0,"5,583",214,"5,797",92.90%
578.,東方風神録 〜 Mountain of Faith.,"1,060",12,"1,072",92.90%
579.,"Star Wars: Battlefront 2 (Classic, 2005)","49,643","2,844","52,487",92.89%
580.,Monster Girl Island: Prologue,"16,349",807,"17,156",92.89%
581.,像素男友,"1,055",12,"1,067",92.89%
582.,Northern Journey,"2,667",76,"2,743",92.87%
583.,Snufkin: Melody of Moominvalley,"1,933",45,"1,978",92.87%
584.,The Curse of Monkey Island,"2,478",68,"2,546",92.86%
585.,東方虹龍洞 ～ Unconnected Marketeers.,"1,705",36,"1,741",92.86%
586.,9-nine-:Episode 2,"1,304",21,"1,325",92.86%
587.,Boneraiser Minions,"4,811",178,"4,989",92.85%
588.,Cats Hidden in Bali,"1,070",13,"1,083",92.85%
589.,Railroader,"1,968",47,"2,015",92.84%
590.,last seen online,"1,036",12,"1,048",92.84%
591.,Rusty Lake Hotel,"8,118",352,"8,470",92.83%
592.,AVICII Invector,"3,123",98,"3,221",92.83%
593.,S.T.A.L.K.E.R.: Shadow of Chernobyl,"40,224","2,287","42,511",92.82%
594.,"STAR WARS™ Battlefront (Classic, 2004)","3,997",140,"4,137",92.82%
595.,Dream Ending,"2,876",87,"2,963",92.82%
596.,東方紺珠伝 ～ Legacy of Lunatic Kingdom.,"1,232",19,"1,251",92.82%
597.,Angel at Dusk,"1,001",11,"1,012",92.82%
598.,Farming Simulator 19,"69,212","4,162","73,374",92.81%
599.,WorldBox - God Simulator,"34,563","1,935","36,498",92.81%
600.,POSTAL Brain Damaged,"7,213",305,"7,518",92.81%
601.,Bejeweled 3,"6,457",265,"6,722",92.81%
602.,Insomnia: Theater in the Head,"2,117",54,"2,171",92.81%
603.,I MAED A GAM3 W1TH Z0MB1ES 1NIT!!!1,"1,522",30,"1,552",92.80%
604.,Plague Inc: Evolved,"49,660","2,902","52,562",92.79%
605.,TIS-100,"3,662",125,"3,787",92.79%
606.,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,"2,292",62,"2,354",92.79%
607.,Palworld,"300,917","20,089","321,006",92.78%
608.,Meteor 60 Seconds!,"4,404",162,"4,566",92.78%
609.,Brutal Orchestra,"1,535",31,"1,566",92.78%
610.,Hades II,"44,278","2,567","46,845",92.77%
611.,Tales from the Borderlands,"16,633",846,"17,479",92.77%
612.,Pony Island,"15,531",781,"16,312",92.77%
613.,Lily's Well,"2,022",51,"2,073",92.77%
614.,planetarian ~the reverie of a little planet~,"1,976",49,"2,025",92.77%
615.,Stella of The End,"1,608",34,"1,642",92.77%
616.,Psychonauts,"16,211",824,"17,035",92.76%
617.,Unreal Tournament 2004,"3,817",134,"3,951",92.76%
618.,Yakuza Kiwami 2,"14,590",729,"15,319",92.75%
619.,Kingdom Rush Origins,"6,371",265,"6,636",92.75%
620.,Star of Providence,"1,867",45,"1,912",92.75%
621.,Path of Achra,"1,471",29,"1,500",92.75%
622.,Pikuniku,"8,841",401,"9,242",92.74%
623.,Unreal Tournament: Game of the Year Edition,"4,008",144,"4,152",92.74%
624.,Cinderella Phenomenon,"3,843",136,"3,979",92.74%
625.,私のリアルは充実しすぎている フルボイス版,"3,717",130,"3,847",92.74%
626.,I Was a Teenage Exocolonist,"3,138",102,"3,240",92.74%
627.,Epic Battle Fantasy 4,"2,965",94,"3,059",92.74%
628.,时间切片：序章,"2,438",70,"2,508",92.74%
629.,Five Nights at Freddy's: Into the Pit,"7,379",321,"7,700",92.73%
630.,Mark of the Ninja: Remastered,"5,568",224,"5,792",92.73%
631.,Thank Goodness You're Here!,"3,001",96,"3,097",92.73%
632.,Rise of the Tomb Raider,"120,963","7,722","128,685",92.72%
633.,House Flipper,"83,393","5,182","88,575",92.72%
634.,Tabletop Simulator,"63,433","3,850","67,283",92.72%
635.,Alien Swarm: Reactive Drop,"20,752","1,107","21,859",92.72%
636.,Orbt XL,"3,204",106,"3,310",92.72%
637.,Cattails: Wildwood Story,"1,302",23,"1,325",92.72%
638.,Zodiacats,905,9,914,92.72%
639.,Nine Sols,"12,875",636,"13,511",92.71%
640.,Everhood,"11,868",577,"12,445",92.71%
641.,Half-Life: MMod,"4,380",164,"4,544",92.71%
642.,A Space For The Unbound - Prologue,"1,272",22,"1,294",92.71%
643.,Amnesia: The Dark Descent,"31,085","1,757","32,842",92.70%
644.,The Arrogant Kaiju Princess and The Detective Servant,"2,279",64,"2,343",92.70%
645.,XCOM: Enemy Unknown,"51,625","3,089","54,714",92.69%
646.,Songs for a Hero - Definitive Edition,"3,635",128,"3,763",92.69%
647.,Coffee Talk Episode 2: Hibiscus & Butterfly,"1,953",50,"2,003",92.69%
648.,Super Meat Boy,"32,787","1,873","34,660",92.68%
649.,Stronghold HD,"9,019",417,"9,436",92.68%
650.,Primordia,"3,109",103,"3,212",92.68%
651.,Cats Hidden in Italy,"1,565",34,"1,599",92.68%
652.,The Powder Toy,952,11,963,92.68%
653.,Defense Grid: The Awakening,"4,822",189,"5,011",92.67%
654.,Antichamber,"15,912",824,"16,736",92.66%
655.,Cato,"1,141",18,"1,159",92.66%
656.,LYNE,"7,789",351,"8,140",92.65%
657.,Yoku's Island Express,"4,434",170,"4,604",92.65%
658.,One Finger Death Punch 2,"4,178",157,"4,335",92.65%
659.,Dogs Organized Neatly,"1,139",18,"1,157",92.65%
660.,Moonleap,821,7,828,92.65%
661.,Yakuza: Like a Dragon,"28,434","1,609","30,043",92.64%
662.,Acting Lessons,"4,865",193,"5,058",92.64%
663.,Maitetsu:Pure Station,"3,389",118,"3,507",92.64%
664.,Brothers - A Tale of Two Sons,"38,478","2,259","40,737",92.63%
665.,Sid Meier's Civilization IV: Beyond the Sword,"4,140",156,"4,296",92.63%
666.,daydream 白日夢,"1,019",14,"1,033",92.63%
667.,Muck,"158,488","10,489","168,977",92.62%
668.,Airships: Conquer the Skies,"5,387",222,"5,609",92.62%
669.,Resonance of the Ocean,"1,636",38,"1,674",92.62%
670.,Alien Swarm,"20,011","1,087","21,098",92.61%
671.,OCTOPATH TRAVELER II,"11,270",555,"11,825",92.61%
672.,Spaceflight Simulator,"5,132",209,"5,341",92.61%
673.,Samorost 1,"4,045",153,"4,198",92.59%
674.,Feeding Frenzy 2: Shipwreck Showdown Deluxe,"2,035",56,"2,091",92.59%
675.,Superliminal,"26,674","1,517","28,191",92.58%
676.,Contraband Police,"15,979",846,"16,825",92.57%
677.,pureya,"2,159",62,"2,221",92.57%
678.,Aperture Desk Job,"21,372","1,185","22,557",92.56%
679.,Darkwood,"18,728","1,019","19,747",92.56%
680.,SUPER CHICKEN JUMPER,"4,399",173,"4,572",92.56%
681.,Mitoza,"3,018",103,"3,121",92.56%
682.,FAR: Lone Sails,"18,447","1,003","19,450",92.55%
683.,The Walking Dead: The Final Season,"17,120",921,"18,041",92.55%
684.,BioShock Infinite,"129,366","8,572","137,938",92.54%
685.,Wildermyth,"16,094",859,"16,953",92.54%
686.,Dagon,"10,528",521,"11,049",92.54%
687.,Hidden in Plain Sight,755,6,761,92.54%
688.,Geometry Dash,"349,756","24,560","374,316",92.53%
689.,Supraland,"11,759",596,"12,355",92.53%
690.,"Little Kitty, Big City","6,762",304,"7,066",92.53%
691.,Cat Quest II,"5,558",237,"5,795",92.53%
692.,Dog Brew,"1,250",24,"1,274",92.53%
693.,Seal World,657,3,660,92.53%
694.,Raft,"303,612","21,215","324,827",92.52%
695.,ARMORED HEAD,"1,120",19,"1,139",92.52%
696.,Montaro,"11,569",587,"12,156",92.51%
697.,Blood: Fresh Supply,"6,384",284,"6,668",92.51%
698.,Miracle Snack Shop,"2,193",65,"2,258",92.51%
699.,Snail Simulator,747,6,753,92.51%
700.,DOOM II,"8,618",413,"9,031",92.50%
701.,PAC-MAN Championship Edition DX+,"7,384",342,"7,726",92.50%
702.,Animal Revolt Battle Simulator,"5,359",228,"5,587",92.50%
703.,A Taste of the Past,"1,556",37,"1,593",92.50%
704.,Knights College,"1,918",53,"1,971",92.49%
705.,The Coin Game,"4,900",204,"5,104",92.48%
706.,Skyrim Script Extender (SKSE),"1,155",21,"1,176",92.48%
707.,Brick Rigs,"41,972","2,569","44,541",92.47%
708.,Journey,"30,441","1,797","32,238",92.47%
709.,SteamWorld Dig 2,"6,706",305,"7,011",92.47%
710.,Unsorted Horror,"1,705",44,"1,749",92.47%
711.,Derail Valley,"5,547",241,"5,788",92.46%
712.,DEADBOLT,"5,038",213,"5,251",92.46%
713.,Higurashi When They Cry Hou - Ch.1 Onikakushi,"4,669",193,"4,862",92.46%
714.,Save Room - Organization Puzzle,"2,077",61,"2,138",92.46%
715.,Door Kickers 2,"7,678",363,"8,041",92.45%
716.,Nova Lands: Emilia's Mission,"1,788",48,"1,836",92.45%
717.,A Dance of Fire and Ice,"64,166","4,116","68,282",92.43%
718.,Little Nightmares II,"36,016","2,185","38,201",92.43%
719.,Strange Horticulture,"10,631",541,"11,172",92.43%
720.,Neon Beats,"6,166",278,"6,444",92.43%
721.,Crime Scene Cleaner: Prologue,"4,308",175,"4,483",92.43%
722.,Cobalt Core,"2,829",98,"2,927",92.43%
723.,Aero GPX,696,5,701,92.43%
724.,Hotline Miami 2: Wrong Number,"57,188","3,642","60,830",92.42%
725.,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,"9,379",467,"9,846",92.42%
726.,Cassette Beasts,"7,140",334,"7,474",92.42%
727.,Class of '09,"5,122",220,"5,342",92.42%
728.,Coffee Talk,"9,880",498,"10,378",92.41%
729.,Mortal Sin,"2,346",75,"2,421",92.41%
730.,YOU and ME and HER: A Love Story,"4,041",162,"4,203",92.40%
731.,COMPOUND,"1,962",57,"2,019",92.40%
732.,Jerma's Big Adventure,"1,251",26,"1,277",92.40%
733.,CARRION,"23,275","1,351","24,626",92.39%
734.,Supraland Six Inches Under,"2,937",105,"3,042",92.39%
735.,Grim Dawn,"88,551","5,879","94,430",92.38%
736.,Marvel's Guardians of the Galaxy,"33,555","2,040","35,595",92.38%
737.,Devil Daggers,"8,404",412,"8,816",92.38%
738.,Total Annihilation,"3,166",117,"3,283",92.38%
739.,The Test: Secrets of the Soul,"1,292",28,"1,320",92.38%
740.,UNDERDOGS,"1,244",26,"1,270",92.38%
741.,Leaf Blower Revolution - Idle Game,"22,328","1,294","23,622",92.37%
742.,Farmer Against Potatoes Idle,"5,597",250,"5,847",92.37%
743.,Yellow Taxi Goes Vroom,854,11,865,92.37%
744.,NOeSIS02-羽化,617,3,620,92.37%
745.,Into the Breach,"18,191","1,028","19,219",92.36%
746.,Cosmoteer: Starship Architect & Commander,"9,382",474,"9,856",92.35%
747.,Quake II,"8,199",403,"8,602",92.35%
748.,Botanicula,"5,724",258,"5,982",92.35%
749.,Peggle Nights,"2,248",72,"2,320",92.35%
750.,Arctic Eggs,"1,629",43,"1,672",92.35%
751.,KunKunNight,"1,399",33,"1,432",92.35%
752.,Free to Play,"10,477",542,"11,019",92.34%
753.,异常 | Exception,"1,623",43,"1,666",92.34%
754.,Manifold Garden,"6,090",281,"6,371",92.33%
755.,Stick Fight: The Game,"112,217","7,664","119,881",92.32%
756.,Caves of Qud,"7,494",364,"7,858",92.32%
757.,PARANORMASIGHT: The Seven Mysteries of Honjo,"4,076",168,"4,244",92.32%
758.,ISLANDERS,"14,992",831,"15,823",92.31%
759.,FAITH,"5,986",276,"6,262",92.31%
760.,No Time,"1,545",40,"1,585",92.31%
761.,Risk of Rain 2,"275,358","19,960","295,318",92.27%
762.,Cities: Skylines,"243,421","17,535","260,956",92.27%
763.,"Warhammer 40,000: Dawn of War - Anniversary Edition ","9,855",513,"10,368",92.27%
764.,ENDER LILIES: Quietus of the Knights,"32,495","2,014","34,509",92.26%
765.,Slime Rancher 2,"27,516","1,673","29,189",92.26%
766.,Deus Ex: Game of the Year Edition,"13,243",727,"13,970",92.26%
767.,King Exit,"6,509",311,"6,820",92.25%
768.,RED HOT VENGEANCE,"3,171",122,"3,293",92.25%
769.,BlazBlue Entropy Effect,"21,293","1,259","22,552",92.24%
770.,Mount Your Friends,"7,361",363,"7,724",92.24%
771.,Zup! 2,"6,394",305,"6,699",92.24%
772.,LiEat,"4,184",178,"4,362",92.24%
773.,Smile For Me,"2,531",89,"2,620",92.24%
774.,永冻之壳 The Shell of Permafrost,"1,123",23,"1,146",92.24%
775.,EARTH DEFENSE FORCE 4.1  The Shadow of New Despair,"9,263",481,"9,744",92.23%
776.,Sticky Business,"4,835",215,"5,050",92.23%
777.,Epic Battle Fantasy 3,"1,997",63,"2,060",92.22%
778.,Poly Bridge 2,"7,113",351,"7,464",92.21%
779.,NOeSIS01-诉说谎言的记忆之物语,"1,303",31,"1,334",92.21%
780.,美女，请别影响我学习,"6,441",311,"6,752",92.20%
781.,Hello Charlotte,"1,672",48,"1,720",92.20%
782.,坦率的小红帽和爱说谎的狼,"1,014",19,"1,033",92.20%
783.,BioShock,"28,483","1,765","30,248",92.19%
784.,Vampire: The Masquerade - Bloodlines,"12,594",696,"13,290",92.19%
785.,Nightmare of Decay,"3,402",137,"3,539",92.19%
786.,Transistor,"28,464","1,767","30,231",92.18%
787.,DR LIVESEY ROM AND DEATH EDITION,"12,327",681,"13,008",92.18%
788.,完蛋！我被美女包围了！,"41,871","2,708","44,579",92.17%
789.,Agent A: A puzzle in disguise,"4,858",220,"5,078",92.17%
790.,Rain World,"32,103","2,027","34,130",92.16%
791.,The Stanley Parable: Ultra Deluxe,"26,332","1,624","27,956",92.16%
792.,Severed Steel,"5,504",258,"5,762",92.16%
793.,Turing Complete,"3,124",123,"3,247",92.16%
794.,BROK the InvestiGator,977,18,995,92.16%
795.,Symphony of War: The Nephilim Saga,"11,100",606,"11,706",92.15%
796.,Another Crab's Treasure,"11,011",601,"11,612",92.15%
797.,Geometry Arena,"2,281",79,"2,360",92.15%
798.,Sleeping Dogs™,"16,055",933,"16,988",92.14%
799.,Rome: Total War,"14,943",858,"15,801",92.14%
800.,Little Inferno,"11,672",644,"12,316",92.14%
801.,Clap Clap,"2,413",86,"2,499",92.14%
802.,Bing in Wonderland,"1,916",61,"1,977",92.14%
803.,Gunfire Reborn,"90,142","6,260","96,402",92.13%
804.,The Past Within,"13,327",753,"14,080",92.13%
805.,Lucy -The Eternity She Wished For-,"7,540",384,"7,924",92.13%
806.,Barotrauma,"62,429","4,224","66,653",92.12%
807.,My Singing Monsters,"35,859","2,305","38,164",92.12%
808.,Rise of Nations: Extended Edition,"13,298",753,"14,051",92.12%
809.,Perfect Gold,"1,037",21,"1,058",92.12%
810.,Ever Seen A Cat?,706,8,714,92.12%
811.,Freddy Fazbear's Pizzeria Simulator,"27,381","1,718","29,099",92.10%
812.,恋爱绮谭 不存在的真相,"1,999",66,"2,065",92.10%
813.,PC Building Simulator,"47,309","3,144","50,453",92.09%
814.,Minds Beneath Us,"1,541",44,"1,585",92.09%
815.,9-nine-:Episode 4,955,18,973,92.08%
816.,ELDEN RING,"897,824","70,190","968,014",92.07%
817.,Company of Heroes ,"15,098",882,"15,980",92.07%
818.,Narcissu 1st & 2nd,"4,417",200,"4,617",92.07%
819.,Enigmatis 2: The Mists of Ravenwood,"1,471",41,"1,512",92.07%
820.,Long Dream,802,12,814,92.07%
821.,SpeedRunners,"34,055","2,204","36,259",92.06%
822.,Yuppie Psycho,"7,295",375,"7,670",92.06%
823.,Tales of Maj'Eyal,"6,139",303,"6,442",92.06%
824.,Melatonin,"5,858",286,"6,144",92.06%
825.,Turnip Boy Commits Tax Evasion,"11,316",633,"11,949",92.05%
826.,Judgment,"7,587",394,"7,981",92.05%
827.,The Witch's House MV,"3,015",121,"3,136",92.05%
828.,100 March Cats,"1,135",26,"1,161",92.05%
829.,100 Funny Cats,"1,087",24,"1,111",92.05%
830.,The Procession to Calvary,970,19,989,92.05%
831.,Bloons TD5,"10,620",590,"11,210",92.04%
832.,Door Kickers: Action Squad,"9,260",501,"9,761",92.04%
833.,Cat Quest,"8,616",460,"9,076",92.04%
834.,In Sound Mind,"4,863",228,"5,091",92.04%
835.,Zup! 8,"4,019",178,"4,197",92.04%
836.,Bloodstained: Ritual of the Night,"35,931","2,349","38,280",92.03%
837.,NIGHT-RUNNERS PROLOGUE,"11,841",671,"12,512",92.03%
838.,fault - milestone two side: above,"2,465",92,"2,557",92.03%
839.,UFO 50,"2,350",86,"2,436",92.03%
840.,Pentiment,"6,276",315,"6,591",92.02%
841.,Ages of Conflict: World War Simulator,"3,092",127,"3,219",92.01%
842.,Later Alligator,"2,417",90,"2,507",92.01%
843.,Sizeable,"1,076",24,"1,100",92.01%
844.,Farm Together,"20,190","1,243","21,433",92.00%
845.,Reventure,"8,410",451,"8,861",92.00%
846.,Dead Space 2,"22,845","1,433","24,278",91.99%
847.,Dungeons 3,"17,058","1,029","18,087",91.99%
848.,Soulstone Survivors: Prologue,"4,090",185,"4,275",91.99%
849.,Leap Year,782,12,794,91.99%
850.,The Secret of Monkey Island: Special Edition,"5,308",258,"5,566",91.98%
851.,OnlyCans: Thirst Date,"3,198",134,"3,332",91.98%
852.,Some Some Convenience Store,"2,934",119,"3,053",91.98%
853.,Shadows Over Loathing,"2,749",109,"2,858",91.98%
854.,Duck Simulator 2,"2,657",104,"2,761",91.98%
855.,The Legend of Heroes: Trails from Zero,"1,022",22,"1,044",91.98%
856.,10 Minutes Till Dawn,"4,044",183,"4,227",91.97%
857.,Laughing to Die,"2,073",73,"2,146",91.97%
858.,Spark the Electric Jester 3,"1,640",51,"1,691",91.97%
859.,Zortch,971,20,991,91.97%
860.,Persona 3 Reload,"26,858","1,727","28,585",91.96%
861.,Tetris® Effect: Connected,"6,841",355,"7,196",91.96%
862.,Pajama Sam in No Need to Hide When It's Dark Outside,"1,150",28,"1,178",91.96%
863.,a new life.,"2,063",73,"2,136",91.95%
864.,POPGOES Arcade,"1,406",40,"1,446",91.95%
865.,Cats Hidden in Maple Hollow,990,21,"1,011",91.95%
866.,Super Animal Royale,"38,428","2,574","41,002",91.94%
867.,Max Payne 2: The Fall of Max Payne,"10,074",566,"10,640",91.94%
868.,Spooky's Jump Scare Mansion: HD Renovation,"2,939",121,"3,060",91.94%
869.,Dinkum,"19,717","1,229","20,946",91.92%
870.,Fallout,"19,707","1,230","20,937",91.92%
871.,FINAL FANTASY IX,"10,293",583,"10,876",91.92%
872.,IRMÃO Grande & Brasileiro 2,957,20,977,91.92%
873.,Little Busters! English Edition,813,14,827,91.92%
874.,Purrfect Apawcalypse: Love at Furst Bite,661,8,669,91.92%
875.,Gloomwood,"5,314",263,"5,577",91.91%
876.,Quake III Arena,"3,430",150,"3,580",91.91%
877.,COCOON,"5,893",300,"6,193",91.90%
878.,DRAMAtical Murder,"2,843",117,"2,960",91.90%
879.,Moonring,"1,752",58,"1,810",91.90%
880.,Fear & Hunger,"12,537",738,"13,275",91.89%
881.,Floating Point,"3,603",161,"3,764",91.89%
882.,Crypt Custodian,879,17,896,91.89%
883.,所向之未来 - Towards Future,654,8,662,91.89%
884.,A Plague Tale: Innocence,"56,129","3,927","60,056",91.88%
885.,EARTH DEFENSE FORCE 5,"9,772",553,"10,325",91.88%
886.,Bramble: The Mountain King,"4,382",208,"4,590",91.88%
887.,DISTRAINT 2,"3,730",169,"3,899",91.88%
888.,Flowers -Le volume sur automne-,652,8,660,91.88%
889.,Disco Elysium,"93,651","6,816","100,467",91.87%
890.,Descenders,"16,523","1,016","17,539",91.87%
891.,Turbo Overkill,"5,529",279,"5,808",91.87%
892.,Rusty Lake Paradise,"4,933",242,"5,175",91.87%
893.,Majotori,"1,720",57,"1,777",91.87%
894.,Spyro™ Reignited Trilogy,"18,400","1,151","19,551",91.86%
895.,Empires of the Undergrowth,"12,416",734,"13,150",91.86%
896.,The Riftbreaker: Prologue,"3,916",181,"4,097",91.86%
897.,Bagel Love Story,896,18,914,91.86%
898.,Sleeping Dogs: Definitive Edition,"59,653","4,211","63,864",91.85%
899.,Bitburner,"5,916",305,"6,221",91.85%
