rank,name,positive ratings,negative ratings,total reviews,rating percentage
105.,SANABI,"29,047",769,"29,816",95.29%
106.,魔女的夜宴,"6,302",78,"6,380",95.29%
107.,Fields of Mistria,"9,526",163,"9,689",95.27%
108.,Ori and the Will of the Wisps,"126,264","4,443","130,707",95.26%
109.,POSTAL 2,"101,398","3,459","104,857",95.26%
110.,Ravenfield,"67,368","2,160","69,528",95.26%
111.,Broforce,"55,828","1,738","57,566",95.25%
112.,Dishonored RHCP,"13,313",275,"13,588",95.24%
113.,Wobbledogs,"10,465",193,"10,658",95.23%
114.,Persona 5 Royal,"79,278","2,646","81,924",95.22%
115.,Iron Snout,"16,902",390,"17,292",95.21%
116.,Before Your Eyes,"14,495",315,"14,810",95.21%
117.,20 Small Mazes,"5,742",70,"5,812",95.20%
118.,A Castle Full of Cats,"3,604",22,"3,626",95.20%
119.,Half-Life,"128,889","4,653","133,542",95.18%
120.,Just Shapes & Beats,"19,769",489,"20,258",95.18%
121.,INSIDE,"60,440","1,959","62,399",95.17%
122.,The Case of the Golden Idol,"6,942",103,"7,045",95.17%
123.,Paper Lily - Chapter 1,"4,251",37,"4,288",95.17%
124.,Cookie Clicker,"67,831","2,250","70,081",95.16%
125.,Half-Life 2: Episode Two,"40,318","1,218","41,536",95.15%
126.,星空列车与白的旅行,"4,284",39,"4,323",95.15%
127.,Juice Galaxy,"5,903",79,"5,982",95.13%
128.,An Arcade Full of Cats,"6,030",83,"6,113",95.12%
129.,Phasmophobia,"682,051","29,094","711,145",95.11%
130.,Stronghold Crusader HD,"18,000",445,"18,445",95.11%
131.,Cuphead,"163,922","6,255","170,177",95.09%
132.,Gorogoa,"16,353",395,"16,748",95.09%
133.,Outlast,"114,638","4,212","118,850",95.08%
134.,DUSK,"21,762",579,"22,341",95.08%
135.,Counter-Strike: Source,"168,403","6,484","174,887",95.07%
136.,shapez 2,"7,291",120,"7,411",95.07%
137.,A Date with Death,"6,885",109,"6,994",95.07%
138.,Patrick's Parabox,"3,588",27,"3,615",95.07%
139.,"Please, Touch The Artwork 2","3,301",21,"3,322",95.07%
140.,Lil Gator Game,"4,237",42,"4,279",95.06%
141.,Keep Talking and Nobody Explodes,"13,703",316,"14,019",95.05%
142.,Kind Words,"8,655",161,"8,816",95.05%
143.,Purrgatory,"4,172",41,"4,213",95.05%
144.,Blade & Sorcery,"51,501","1,697","53,198",95.04%
145.,STEINS;GATE,"17,103",433,"17,536",95.02%
146.,Tomb Raider,"227,552","9,183","236,735",95.01%
147.,Tales of the Black Forest,"12,576",287,"12,863",95.00%
148.,Fallout: New Vegas,"208,866","8,442","217,308",94.97%
149.,Sid Meier's Civilization V,"191,892","7,711","199,603",94.97%
150.,Touhou Luna Nights,"13,196",314,"13,510",94.95%
151.,CULTIC,"6,137",97,"6,234",94.95%
152.,Epic Battle Fantasy 5,"5,165",71,"5,236",94.95%
153.,Life is Strange™,"159,921","6,357","166,278",94.94%
154.,GRIS,"71,367","2,567","73,934",94.94%
155.,The Murder of Sonic the Hedgehog,"21,121",590,"21,711",94.94%
156.,文字遊戲：第零章,"4,469",54,"4,523",94.93%
157.,I Wani Hug that Gator!,"3,205",24,"3,229",94.93%
158.,Ib,"3,811",39,"3,850",94.91%
159.,A Building Full of Cats,"3,695",36,"3,731",94.91%
160.,Webbed,"12,769",307,"13,076",94.90%
161.,东北之夏,"11,654",271,"11,925",94.90%
162.,God of War,"137,047","5,455","142,502",94.88%
163.,Trombone Champ,"9,010",189,"9,199",94.87%
164.,Tactical Breach Wizards,"5,463",84,"5,547",94.87%
165.,Riddle Joker,"5,398",85,"5,483",94.82%
166.,Slay the Princess,"14,640",386,"15,026",94.81%
167.,Virtual Cottage,"9,478",210,"9,688",94.81%
168.,Cube Escape Collection,"6,087",106,"6,193",94.80%
169.,The Hungry Lamb: Traveling in the Late Ming Dynasty,"36,399","1,221","37,620",94.79%
170.,Sally Face - Episode One,"19,585",569,"20,154",94.79%
171.,Gunpoint,"12,620",319,"12,939",94.79%
172.,To the Moon,"74,228","2,822","77,050",94.77%
173.,山河旅探 Murders on the Yangtze River,"13,065",336,"13,401",94.77%
174.,100 hidden frogs,"5,767",99,"5,866",94.77%
175.,Castle Crashers,"113,583","4,570","118,153",94.76%
176.,Don't Starve Together,"448,018","20,395","468,413",94.75%
177.,The Expendabros,"17,604",503,"18,107",94.75%
178.,Outcore,"13,030",339,"13,369",94.75%
179.,Clone Drone in the Danger Zone,"28,763",936,"29,699",94.74%
180.,Lost in Play,"5,802",102,"5,904",94.74%
181.,Divinity: Original Sin 2,"175,527","7,482","183,009",94.72%
182.,"Hot Dogs, Horseshoes & Hand Grenades","20,132",605,"20,737",94.72%
183.,Eternal Senia,"11,602",292,"11,894",94.72%
184.,West of Loathing,"9,148",209,"9,357",94.72%
185.,Underground Blossom,"5,501",94,"5,595",94.72%
186.,Milk inside a bag of milk inside a bag of milk,"25,671",823,"26,494",94.71%
187.,Fran Bow,"16,768",482,"17,250",94.70%
188.,The Last Campfire,"10,615",261,"10,876",94.70%
189.,Gravitas,"6,552",129,"6,681",94.68%
190.,Milk outside a bag of milk outside a bag of milk,"15,424",438,"15,862",94.67%
191.,The Forest,"533,430","25,086","558,516",94.66%
192.,Summer Pockets,"3,564",43,"3,607",94.66%
193.,LIZARDS MUST DIE,"24,423",790,"25,213",94.65%
194.,Wobbly Life,"22,165",700,"22,865",94.65%
195.,Batman: Arkham Asylum GOTY Edition,"64,481","2,494","66,975",94.64%
196.,Duck Game,"36,572","1,290","37,862",94.64%
197.,東方天空璋 ～ Hidden Star in Four Seasons.,"4,406",67,"4,473",94.64%
198.,Super Hexagon,"23,641",764,"24,405",94.63%
199.,Left 4 Dead,"55,584","2,120","57,704",94.62%
200.,Return of the Obra Dinn,"25,483",840,"26,323",94.62%
201.,Kingdom Rush,"13,464",373,"13,837",94.62%
202.,Mon Bazou,"12,637",345,"12,982",94.61%
203.,Doki Doki Literature Club Plus!,"23,892",784,"24,676",94.59%
204.,The Test,"19,069",593,"19,662",94.59%
205.,SuchArt: Creative Space,"6,720",141,"6,861",94.59%
206.,Aventura Copilului Albastru și Urât,"2,418",17,"2,435",94.59%
207.,Monument Valley,"4,590",76,"4,666",94.57%
208.,The Supper,"3,758",52,"3,810",94.57%
209.,Crime Scene Cleaner,"8,805",214,"9,019",94.56%
210.,The Looker,"13,440",386,"13,826",94.53%
211.,WolfQuest: Anniversary Edition,"8,342",201,"8,543",94.52%
212.,第七号列车 - Train No. 7,"6,369",135,"6,504",94.52%
213.,Mirror,"82,915","3,441","86,356",94.51%
214.,Until Then,"3,381",44,"3,425",94.51%
215.,MADNESS: Project Nexus,"14,321",425,"14,746",94.50%
216.,Hylics,"5,164",97,"5,261",94.50%
217.,Maitetsu:Last Run!!,"4,132",66,"4,198",94.50%
218.,Devil May Cry 5,"124,890","5,464","130,354",94.49%
219.,Cruelty Squad,"17,883",568,"18,451",94.48%
220.,METAL GEAR RISING: REVENGEANCE,"75,144","3,115","78,259",94.47%
221.,箭箭剑 Arrow a Row,"14,747",446,"15,193",94.47%
222.,Zup! S,"13,807",409,"14,216",94.47%
223.,Pseudoregalia,"11,335",316,"11,651",94.47%
224.,Mark of the Ninja,"15,340",472,"15,812",94.46%
225.,Marvel’s Spider-Man Remastered,"95,709","4,119","99,828",94.44%
226.,SIGNALIS,"20,184",671,"20,855",94.44%
227.,Fear & Hunger 2: Termina,"8,587",220,"8,807",94.42%
228.,买个可乐饼吧！ - Buy a Croquette!,"2,350",20,"2,370",94.42%
229.,LEGO® Star Wars™: The Complete Saga,"22,047",756,"22,803",94.41%
230.,The Test: Final Revelation,"5,174",103,"5,277",94.41%
231.,Cafe Stella,"4,356",77,"4,433",94.41%
232.,Batman: Arkham City GOTY,"61,343","2,527","63,870",94.40%
233.,Dorfromantik,"25,538",909,"26,447",94.39%
234.,海沙风云 Far Away,"6,426",146,"6,572",94.39%
235.,Alba: A Wildlife Adventure,"5,839",126,"5,965",94.39%
236.,Summer Clover,"3,832",62,"3,894",94.39%
237.,Cube Escape: Paradox,"9,459",256,"9,715",94.38%
238.,Post Void,"9,991",277,"10,268",94.37%
239.,planetarian HD,"2,726",31,"2,757",94.37%
240.,NEKOPARA Vol. 2,"12,130",361,"12,491",94.36%
241.,Bloody Hell,"5,114",104,"5,218",94.36%
242.,乡村狂想曲,"14,711",465,"15,176",94.35%
243.,The Walking Dead: Season Two,"29,253","1,088","30,341",94.34%
244.,The Coffin of Andy and Leyley,"22,491",792,"23,283",94.34%
245.,Half-Life 2: VR Mod,"6,009",135,"6,144",94.34%
246.,巫兎 - KANNAGI USAGI -,"5,708",125,"5,833",94.34%
247.,Crow Country,"3,359",50,"3,409",94.34%
248.,Age of Empires II (2013),"95,956","4,245","100,201",94.33%
249.,Stacklands,"23,557",847,"24,404",94.31%
250.,The Upturned,"2,077",16,"2,093",94.31%
251.,Thronefall,"14,582",468,"15,050",94.30%
252.,Psychopomp,"4,183",77,"4,260",94.30%
