Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-04-10,After Yang,2021,https://boxd.it/2JWLHX,4,,,2022-04-09
2022-04-16,X,2022,https://boxd.it/2L2IKb,3,,,2022-04-16
2022-04-19,The Batman,2022,https://boxd.it/2LEyeZ,3,,,2022-04-18
2022-04-25,Turning Red,2022,https://boxd.it/2MJe0R,4,,,2022-04-24
2022-05-05,The Hitcher,1986,https://boxd.it/2OkO0h,4,,,2022-05-03
2022-05-08,The Death of David Cronenberg,2021,https://boxd.it/2OS9oZ,,,,2022-05-07
2022-05-08,The Hitcher: How Do These Movies Get Made?,2003,https://boxd.it/2OS9G5,,,,2022-05-07
2022-05-25,Everything Everywhere All at Once,2022,https://boxd.it/2RYywD,0.5,,,2022-05-24
2022-05-26,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2SdObB,5,,,2022-05-25
2022-05-30,The Texas Chain Saw Massacre,1974,https://boxd.it/2SNXnX,3.5,,,2022-05-28
2022-06-05,Notting Hill,1999,https://boxd.it/2TQ4af,3.5,,,2022-06-02
2022-06-12,"Hi, How Are You Daniel Johnston?",2015,https://boxd.it/2V4MGB,,,,2022-06-11
2022-07-18,Wife of a Spy,2020,https://boxd.it/31WZnJ,2.5,,,2022-07-09
2022-07-18,The Black Phone,2021,https://boxd.it/32awgx,3,,,2022-07-17
2022-08-01,Not Okay,2022,https://boxd.it/35fWIJ,2.5,,,2022-07-31
2022-08-03,Equinox Flower,1958,https://boxd.it/35I8Hp,3,,,2022-08-02
2022-08-17,Elvis,2022,https://boxd.it/38zX01,1,,,2022-08-16
2022-08-17,Vengeance,2022,https://boxd.it/38G5xz,2.5,,,2022-08-16
2022-08-20,Smiley Face,2007,https://boxd.it/39bszv,,,,2022-08-19
2022-08-22,Orphan: First Kill,2022,https://boxd.it/39B3lP,2,,,2022-08-20
2022-08-22,Look Both Ways,2022,https://boxd.it/39DNOR,2,,,2022-08-21
2022-08-22,The Host,2006,https://boxd.it/39FGTz,5,,,2022-08-21
