Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-04-30,Samurai Rebellion,1967,https://boxd.it/17iFzD,5,Yes,,2020-04-30
2020-05-01,The Approach of Autumn,1960,https://boxd.it/17j6ed,4,,,2020-04-30
2020-05-01,Scream,1996,https://boxd.it/17oGlf,2.5,,,2020-05-01
2020-05-01,Rat Race,2001,https://boxd.it/17pvJn,4,,,2020-05-01
2020-05-01,Lone Wolf and Cub: Baby Cart to Hades,1972,https://boxd.it/17pLP7,4,,,2020-05-01
2020-05-16,Quick-draw Okatsu,1969,https://boxd.it/198ksT,,,,2020-05-15
2020-05-17,Lone Wolf and Cub: Baby Cart in Peril,1972,https://boxd.it/19g4AN,4,,,2020-05-16
2020-05-19,Lone Wolf and Cub: White Heaven in Hell,1974,https://boxd.it/19vdFx,,,,2020-05-18
2020-05-20,The Hidden Fortress,1958,https://boxd.it/19C7FP,,Yes,,2020-05-19
2020-05-20,Saint☆Young Men,2013,https://boxd.it/19CD7F,3,,,2020-05-19
2020-05-21,Hanzo the Razor: Sword of Justice,1972,https://boxd.it/19JBKJ,,,,2020-05-20
2020-05-26,Double Suicide,1969,https://boxd.it/1ajOQR,4,,,2020-05-25
2020-05-27,Humanity and Paper Balloons,1937,https://boxd.it/1aro6f,5,,,2020-05-26
2020-05-28,The Man Who Left His Will on Film,1970,https://boxd.it/1axjAr,,,,2020-05-27
2020-05-29,Love Letter,1953,https://boxd.it/1aEbTz,,,,2020-05-28
2020-05-30,Advance Patrol,1957,https://boxd.it/1aKfhh,,,,2020-05-29
2020-06-01,Shirkers,2018,https://boxd.it/1aXGkD,5,,,2020-05-31
2020-06-02,The Dull Sword,1917,https://boxd.it/1b6O4h,,,,2020-06-01
2020-06-02,The Battle of the Monkey and the Crab,1917,https://boxd.it/1b6Oor,,,,2020-06-01
2020-06-03,Souls on the Road,1921,https://boxd.it/1baeIX,,,,2020-06-02
2020-06-13,Last Year at Marienbad,1961,https://boxd.it/1cemfB,,,,2020-06-11
2020-06-13,The Hunt,2020,https://boxd.it/1ciP8x,2,,,2020-06-13
2020-06-13,Ordet,1955,https://boxd.it/1ciPh5,4,,,2020-06-13
2020-06-14,Tokyo Story,1953,https://boxd.it/1cooJD,3.5,,,2020-06-13
2020-06-14,Passage to Buddha,1993,https://boxd.it/1coGAT,3,,,2020-06-14
2020-06-19,The Staggering Girl,2019,https://boxd.it/1cV9l3,2.5,,,2020-06-19
2020-06-19,Take Me Somewhere Nice,2019,https://boxd.it/1cVNFR,3,,,2020-06-19
2020-06-20,Waves '98,2015,https://boxd.it/1d1KVJ,3,,,2020-06-19
2020-06-20,Tekkonkinkreet,2006,https://boxd.it/1d1O7j,4,,,2020-06-20
2020-06-21,Portrait of a Lady on Fire,2019,https://boxd.it/1d6D9N,3.5,,,2020-06-20
2020-06-21,Extreme Private Eros: Love Song 1974,1974,https://boxd.it/1d8FJR,5,,,2020-06-21
