name,positive ratings,negative ratings,total reviews,rating percentage,category,first_release_date,platforms,genres,aggregated_rating,aggregated_rating_count,public_rating_igdb,public_rating_count,game_engines,game_modes,player_perspectives
OMORI,71582,1911,73493,95.77%,mod,1645833600,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Indie']",8.3,2.0,9,117,['RPG Maker MV'],['Single player'],['Bird view or Isometric']
The Wolf Among Us,33196,738,33934,95.76%,episode,1404777600,"['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360', 'Mac']","['Point-and-click', 'Adventure']",8.0,11.0,8.4,1000,['Telltale Tool'],['Single player'],['Third person']
Chants of Sennaar,16386,274,16660,95.76%,main_game,1693872000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",8.0,3.0,9.1,41,['Unity'],['Single player'],['Bird view or Isometric']
Hotline Miami,95791,2752,98543,95.73%,main_game,1350950400,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation Vita', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'Linux']","['Shooter', 'Indie', 'Arcade']",8.6,13.0,8.4,1000,['GameMaker: Studio'],['Single player'],['Bird view or Isometric']
Resident Evil 2,156121,4899,161020,95.69%,bundle,1548374400,['PC (Microsoft Windows)'],['Adventure'],9.3,15.0,8.7,1000,['RE Engine'],['Single player'],['Third person']
Crab Champions,23160,479,23639,95.66%,main_game,1680307200,['PC (Microsoft Windows)'],"['Fighting', 'Shooter', 'Racing', 'Adventure', 'Indie']",,,6.2,16,['Unreal Engine 5'],"['Single player', 'Multiplayer', 'Co-operative', 'Battle Royale']",['Third person']
Brotato,77803,2221,80024,95.65%,main_game,1679961600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Fighting', 'Shooter', 'Role-playing (RPG)', 'Indie', 'Arcade']",,,7.8,57,['Godot'],['Single player'],['Bird view or Isometric']
Balatro,49571,1293,50864,95.64%,main_game,1708387200,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Strategy', 'Indie', 'Card & Board Game']",9.1,5.0,8.3,75,['love2d'],['Single player'],['Bird view or Isometric']
The Room,26851,590,27441,95.64%,main_game,1604102400,['Web browser'],['Puzzle'],,,,,,['Single player'],"['First person', 'Text']"
Neon White,15648,279,15927,95.63%,main_game,1655337600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Shooter', 'Platform', 'Indie', 'Visual Novel']",8.9,9.0,8.6,77,['Unity'],['Single player'],"['First person', 'Text']"
"Papers, Please",68775,1940,70715,95.62%,main_game,1375920000,"['PC (Microsoft Windows)', 'PlayStation Vita', 'Android', 'Linux', 'iOS', 'Mac']","['Point-and-click', 'Puzzle', 'Simulator', 'Indie']",8.2,5.0,8.2,568,['OpenFL'],['Single player'],"['First person', 'Text']"
STAR WARS™ Empire at War: Gold Pack,36200,884,37084,95.61%,bundle,1187136000,['PC (Microsoft Windows)'],"['Real Time Strategy (RTS)', 'Strategy']",7.3,3.0,7.4,98,['Alamo'],"['Single player', 'Multiplayer']",['Bird view or Isometric']
Steam Engine Simulator,7240,76,7316,95.60%,main_game,1686096000,['PC (Microsoft Windows)'],['Simulator'],,,,,,['Single player'],"['First person', 'Auditory']"
BattleBlock Theater,68927,1963,70890,95.59%,main_game,1364947200,"['PC (Microsoft Windows)', 'Xbox 360', 'Linux', 'Mac']","['Platform', 'Puzzle', 'Adventure', 'Indie']",8.9,8.0,7.8,169,,"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
Factorio,184069,6110,190179,95.58%,main_game,1597363200,"['PC (Microsoft Windows)', 'Linux', 'Mac', 'Nintendo Switch']","['Simulator', 'Strategy', 'Indie']",8.6,2.0,8.5,231,['Proprietary Engine'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view or Isometric']
Satisfactory,180597,5991,186588,95.58%,main_game,1725926400,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Simulator', 'Strategy', 'Adventure', 'Indie']",9.5,2.0,7.5,139,['Unreal Engine 5'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
The Walking Dead,67473,1923,69396,95.58%,main_game,1335225600,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation Vita', 'PlayStation 4', 'Xbox 360', 'Android', 'Xbox One', 'Linux', 'iOS', 'Mac']","['Point-and-click', 'Adventure']",8.4,9.0,8.6,1000,['Telltale Tool'],['Single player'],"['Third person', 'Bird view or Isometric']"
Pineapple on pizza,22347,479,22826,95.57%,main_game,1679961600,"['PC (Microsoft Windows)', 'Linux', 'Mac']",['Indie'],,,7,22,['Unity'],['Single player'],['First person']
Inscryption,116790,3697,120487,95.55%,main_game,1634601600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",8.2,5.0,8.7,247,['Unity'],['Single player'],"['First person', 'Bird view or Isometric']"
Undertale,231581,7996,239577,95.54%,main_game,1442275200,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",9.6,16.0,8.7,1000,['GameMaker: Studio'],['Single player'],['Bird view or Isometric']
Phoenix Wright: Ace Attorney Trilogy,32334,789,33123,95.54%,bundle,1397692800,"['PC (Microsoft Windows)', 'Nintendo 3DS', 'PlayStation 4', 'Xbox One', 'iOS', 'Nintendo Switch']","['Puzzle', 'Simulator', 'Adventure', 'Visual Novel']",8.2,13.0,8.2,70,['Unity'],['Single player'],['Text']
American Truck Simulator,156303,5176,161479,95.53%,main_game,1454371200,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Racing', 'Simulator', 'Indie']",8.1,7.0,8.1,75,['Prism3D'],"['Single player', 'Multiplayer', 'Co-operative']","['First person', 'Third person']"
VTOL VR,17072,339,17411,95.51%,main_game,1501718400,['SteamVR'],"['Simulator', 'Indie']",,,8.4,6,,"['Single player', 'Multiplayer', 'Co-operative']",['Virtual Reality']
Black Myth: Wukong,888106,34930,923036,95.48%,main_game,1724112000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Role-playing (RPG)', 'Adventure']",8.8,5.0,8.8,95,['Unreal Engine 5'],['Single player'],['Third person']
东方夜雀食堂 - Touhou Mystia's Izakaya,23659,540,24199,95.48%,main_game,1633046400,"['PC (Microsoft Windows)', 'Mac', 'Nintendo Switch']","['Music', 'Role-playing (RPG)', 'Simulator', 'Indie']",,,,,,['Single player'],['Bird view or Isometric']
Placid Plastic Duck Simulator,14843,284,15127,95.47%,main_game,1657065600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Music', 'Puzzle', 'Simulator']",,,,,,"['Single player', 'Multiplayer', 'Co-operative']","['Third person', 'Bird view or Isometric']"
Project Kat - Paper Lily Prologue,4884,35,4919,95.47%,main_game,1584316800,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Puzzle', 'Role-playing (RPG)']",,,,,['RPG Maker'],['Single player'],['Bird view or Isometric']
VA-11 Hall-A: Cyberpunk Bartender Action,33967,873,34840,95.46%,main_game,1466467200,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation 4', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Simulator', 'Adventure', 'Indie', 'Visual Novel']",8.4,9.0,8.4,129,['Game Maker'],['Single player'],['Text']
There Is No Game: Wrong Dimension,21724,490,22214,95.45%,main_game,1596672000,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",8.0,1.0,8,42,,['Single player'],['Bird view or Isometric']
CLANNAD,8914,128,9042,95.45%,main_game,1275523200,"['PC (Microsoft Windows)', 'PlayStation Portable', 'Android', 'Nintendo Switch']","['Adventure', 'Visual Novel']",,,,,,['Single player'],"['First person', 'Text']"
Persona 4 Golden,70262,2128,72390,95.44%,pack,1706832000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One']","['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",8.6,17.0,9.5,476,['renderware'],['Single player'],['Third person']
Bomb Rush Cyberfunk,11180,190,11370,95.42%,main_game,1692316800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Platform', 'Role-playing (RPG)', 'Sport', 'Adventure', 'Indie']",8.3,3.0,7,11,['Unity'],['Single player'],['Third person']
Baba Is You,20247,457,20704,95.39%,main_game,1654387200,['PC (Microsoft Windows)'],['Puzzle'],8.0,6.0,8.1,151,['Multimedia Fusion 2'],['Single player'],['Bird view or Isometric']
Oxygen Not Included,115767,3866,119633,95.38%,main_game,1564444800,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Simulator', 'Strategy', 'Indie']",,,7.9,103,['Unity'],['Single player'],['Side view']
One Finger Death Punch,15904,336,16240,95.34%,main_game,1377993600,"['PC (Microsoft Windows)', 'Xbox 360', 'Android']","['Fighting', 'hack and slash or beat em up', 'Indie', 'Arcade']",9.0,2.0,7.1,53,['Microsoft XNA'],['Single player'],['Side view']
PowerWash Simulator,45259,1309,46568,95.33%,main_game,1698883200,"['PC (Microsoft Windows)', 'Meta Quest 2', 'Meta Quest 3']","['Simulator', 'Indie']",7.9,4.0,7.8,54,['Unity'],"['Single player', 'Co-operative']","['First person', 'Virtual Reality']"
Finding Paradise,17446,384,17830,95.33%,main_game,1513209600,"['PC (Microsoft Windows)', 'Android', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",9.3,2.0,8,68,['RPG Maker XP'],['Single player'],['Bird view or Isometric']
The Witcher 3: Wild Hunt,767446,31333,798779,95.31%,bundle,1540512000,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One']","['Role-playing (RPG)', 'Adventure']",9.2,26.0,9.4,4000,['REDengine 3'],['Single player'],['Third person']
Doki Doki Literature Club,195628,7126,202754,95.31%,expanded_game,1625011200,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Xbox One', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",8.3,2.0,8.3,90,['Unity'],['Single player'],['Text']
Hi-Fi RUSH,31011,828,31839,95.31%,main_game,1674604800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Music', 'Platform', 'hack and slash or beat em up', 'Adventure']",8.6,11.0,8.6,112,['Unreal Engine 4'],['Single player'],['Third person']
The Room Two,18454,420,18874,95.31%,main_game,1386806400,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Indie']",8.1,5.0,7.8,111,['Unity'],['Single player'],['First person']
