name,positive ratings,negative ratings,total reviews,rating percentage,category,first_release_date,platforms,genres,aggregated_rating,aggregated_rating_count,public_rating_igdb,public_rating_count,game_engines,game_modes,player_perspectives
Portal 2,"401,349","5,312","406,661",97.70%,dlc_addon,"1308182400 ","['PC (Microsoft Windows)', 'PlayStation 3']","['Shooter', 'Puzzle', 'Adventure']",9.2,12,9.2,3000,['Source'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
Stardew Valley,"747,919","12,739","760,658",97.51%,main_game,"1456358400 ","['PC (Microsoft Windows)', 'Wii U', 'PlayStation Vita', 'PlayStation 4', 'Android', 'Xbox One', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",9.1,17.0,8.7,1000,['Microsoft XNA'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view / Isometric']
People Playground,"256,855","3,615","260,470",97.47%,main_game,"1563753600 ",['PC (Microsoft Windows)'],['Simulator'],n/a,n/a,7.0,15,['Unity'],['Single player'],['Side view']
Vampire Survivors,"232,095","3,542","235,637",97.33%,main_game,"1643587200 ","['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",9.1,6.0,8.1,209,"['Phaser', 'Unity']","['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['Bird view / Isometric']
Hades,"263,680","4,541","268,221",97.19%,main_game,"1600214400 ","['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",9.4,20.0,9.1,1000,['Proprietary Engine'],['Single player'],['Bird view / Isometric']
Portal,"162,350","2,528","164,878",97.16%,main_game,1726876800,"['PC (Microsoft Windows)', 'Android']","['Shooter', 'Adventure', 'Indie']",8.0,2,8.0,3000,['id Tech 2'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
HoloCure - Save the Fans!,"30,955",239,"31,194",97.05%,main_game,1656028800,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",n/a,n/a,8.1,21,['GameMaker: Studio'],['Single player'],['Bird view / Isometric']
Terraria,"1,303,041","33,014","1,336,055",96.85%,main_game,1305504000,"['PC (Microsoft Windows)', 'Wii U', 'PlayStation 3', 'PlayStation Vita', 'Windows Phone', 'Google Stadia', 'Nintendo 3DS', 'PlayStation 4', 'Xbox 360', 'Android']","['Platform', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",8.1,17.0,8.2,795,['XNA Framework'],"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
RimWorld,"190,515","3,902","194,417",96.77%,main_game,1539734400,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Indie']",7.4,3.0,8.3,227,['Unity'],['Single player'],['Bird view / Isometric']
Half-Life: Alyx,"90,151","1,547","91,698",96.76%,main_game,1584921600,"['SteamVR', 'Oculus Rift', 'Windows Mixed Reality']","['Shooter', 'Puzzle', 'Adventure']",9.2,11.0,9.4,118,['Source 2'],['Single player'],['Virtual Reality']
Left 4 Dead 2,"867,662","22,184","889,846",96.74%,main_game,1258416000,"['PC (Microsoft Windows)', 'Xbox 360', 'Linux', 'Mac']",['Shooter'],8.8,7.0,8.2,979,['Source'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
The Henry Stickmin Collection,"45,901",624,"46,525",96.74%,bundle,1596758400,"['PC (Microsoft Windows)', 'Mac']","['Point-and-click', 'Adventure', 'Indie']",n/a,n/a,9.4,50,['Adobe Animate'],['Single player'],['Bird view / Isometric']
Senren Banka," 26,092"," 260","26,352",96.73%,main_game,1581638400,['PC (Microsoft Windows)'],['Adventure'],n/a,n/a,8.0,1,n/a,['Single player'],['Text']
Pizza Tower,"60,570",971,"61,541",96.67%,main_game,1674691200,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",9.0,1.0,8.2,46,['GameMaker: Studio'],"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
